in_features,I_YX_in,I_YX_out|X_in,I_XY
claw,0.2273274012609915,0.6003667659201429,0.8276941671811344
dist,0.46576307093612856,0.36193109624500586,0.8276941671811344
"claw,dist",0.5493163572668516,0.27837780991428285,0.8276941671811344
age,0.5836629813926804,0.24403118578845406,0.8276941671811344
"claw,age",0.5784294880579819,0.24926467912315253,0.8276941671811344
"dist,age",0.5939614628751854,0.23373270430594906,0.8276941671811344
"claw,dist,age",0.5842763448832134,0.24341782229792097,0.8276941671811344
cluster,0.675632984911138,0.15206118226999643,0.8276941671811344
"claw,cluster",0.6897307080101385,0.13796345917099595,0.8276941671811344
"dist,cluster",0.8034239462241861,0.024270220956948307,0.8276941671811344
"claw,dist,cluster",0.7461543083834644,0.08153985879767,0.8276941671811344
"age,cluster",0.8439136296201368,-0.016219462439002408,0.8276941671811344
"claw,age,cluster",0.8105820291376876,0.0171121380434468,0.8276941671811344
"dist,age,cluster",0.8715058679326316,-0.04381170075149721,0.8276941671811344
